"source,text,created_at,retweet_count,favorite_count,is_retweet,id_str"
"Twitter for iPhone,RT @realDonaldTrump: Good things were stated on the call with China the other day. They are eating the Tariffs with the devaluation of thei...,08-15-2019 13:59:30,17184,0,true,1162000867719094274"
"Twitter for iPhone,RT @realDonaldTrump: ..deferral to December. It actually helps China more than us but will be reciprocated. Millions of jobs are being los...,08-15-2019 13:59:23,17035,0,true,1162000838765830146"
"Twitter for iPhone,I know President Xi of China very well. He is a great leader who very much has the respect of his people. He is also a good man in a ""tough business."" I have ZERO doubt that if President Xi wants to quickly and humanely solve the Hong Kong problem he can do it. Personal meeting?,08-14-2019 22:59:13,23461,105814,false,1161774305895694336"
"Twitter for iPhone,Good things were stated on the call with China the other day. They are eating the Tariffs with the devaluation of their currency and ""pouring"" money into their system. The American consumer is fine with or without the September date but much good will come from the short.....,08-14-2019 22:32:56,17185,88976,false,1161767689762889728"
"Twitter for iPhone,..deferral to December. It actually helps China more than us but will be reciprocated. Millions of jobs are being lost in China to other non-Tariffed countries. Thousands of companies are leaving. Of course China wants to make a deal. Let them work humanely with Hong Kong first!,08-14-2019 22:32:56,17069,86076,false,1161767691646115840"
"Twitter for iPhone,We are winning big time against China. Companies &amp; jobs are fleeing. Prices to us have not gone up and in some cases have come down. China is not our problem though Hong Kong is not helping. Our problem is with the Fed. Raised too much &amp; too fast. Now too slow to cut....,08-14-2019 19:21:05,18897,85916,false,1161719408202584064"
"Twitter for iPhone,As usual China said they were going to be buying ""big"" from our great American Farmers. So far they have not done what they said. Maybe this will be different!,08-13-2019 14:10:58,11632,54036,false,1161278978201661440"
"Twitter for iPhone,Through massive devaluation of their currency and pumping vast sums of money into their system the tens of billions of dollars that the U.S. is receiving is a gift from China. Prices not up no inflation. Farmers getting more than China would be spending. Fake News won't report!,08-13-2019 12:49:05,17124,65790,false,1161258370478858240"
"Twitter for iPhone,China wants to make a deal so badly. Thousands of companies are leaving because of the Tariffs they must stem the flow. At the same time China may be hoping for a Democrat to win so they could continue the great ripoff of America &amp; the theft of hundreds of Billions of $'s!,08-10-2019 21:58:09,19173,82161,false,1160309383701680129"
"Twitter for iPhone,Watching Sleepy Joe Biden making a speech. Sooo Boring! The LameStream Media will die in the ratings and clicks with this guy. It will be over for them not to mention the fact that our Country will do poorly with him. It will be one big crash but at least China will be happy!,08-07-2019 19:01:41,16918,74594,false,1159177811573166081"
"Twitter for iPhone,""Three more Central Banks cut rates."" Our problem is not China - We are stronger than ever money is pouring into the U.S. while China is losing companies by the thousands to other countries and their currency is under siege - Our problem is a Federal Reserve that is too.....,08-07-2019 12:46:22,19350,85878,false,1159083361803149312"
"Twitter for iPhone,.@sundarpichai of Google was in the Oval Office working very hard to explain how much he liked me what a great job the Administration is doing that Google was not involved with China's military that they didn't help Crooked Hillary over me in the 2016 Election &amp; that they...,08-06-2019 17:51:23,18552,80057,false,1158797732821291018"
"Twitter for iPhone,As they have learned in the last two years our great American Farmers know that China will not be able to hurt them in that their President has stood with them and done what no other president would do - And I'll do it again next year if necessary!,08-06-2019 12:36:44,19906,97892,false,1158718548518297600"
"Twitter for iPhone,Massive amounts of money from China and other parts of the world is pouring into the United States for reasons of safety investment and interest rates! We are in a very strong position. Companies are also coming to the U.S. in big numbers. A beautiful thing to watch!,08-06-2019 12:00:41,19090,83395,false,1158709475517325313"
"Twitter for iPhone,@sundarpichai of Google was in the Oval Office working very hard to explain how much he liked me what a great job the Administration is doing that Google was not involved with China's military that they didn't help Crooked Hillary over me in the 2016 Election and that they...,08-06-2019 11:47:05,11035,44443,false,1158706052768157701"
"Twitter for iPhone,China is intent on continuing to receive the hundreds of Billions of Dollars they have been taking from the U.S. with unfair trade practices and currency manipulation. So one-sided it should have been stopped many years ago!,08-05-2019 16:00:14,15908,71530,false,1158407373666566145"
"Twitter for iPhone,Based on the historic currency manipulation by China it is now even more obvious to everyone that Americans are not paying for the Tariffs - they are being paid for compliments of China and the U.S. is taking in tens of Billions of Dollars! China has always....,08-05-2019 15:58:59,17769,91484,false,1158407058519207936"
"Twitter for iPhone,China dropped the price of their currency to an almost a historic low. It's called ""currency manipulation."" Are you listening Federal Reserve? This is a major violation which will greatly weaken China over time!,08-05-2019 12:12:44,22378,87494,false,1158350120649408513"
"Twitter for iPhone,Things are going along very well with China. They are paying us Tens of Billions of Dollars made possible by their monetary devaluations and pumping in massive amounts of cash to keep their system going. So far our consumer is paying nothing - and no inflation. No help from Fed!,08-03-2019 12:46:45,18531,81940,false,1157633906025402368"
