Date,Price_mxn
12/5/2018,20.502
12/4/2018,20.5135
12/3/2018,20.3625
11/30/2018,20.4052
11/29/2018,20.24
11/28/2018,20.2963
11/27/2018,20.4782
11/26/2018,20.6175
11/23/2018,20.41
11/22/2018,20.3125
11/21/2018,20.246
11/20/2018,20.359
11/19/2018,20.3795
11/16/2018,20.1507
11/15/2018,20.232
11/14/2018,20.41
11/13/2018,20.493
11/12/2018,20.3675
11/9/2018,20.1404
11/8/2018,20.1963
11/7/2018,19.8715
11/6/2018,19.7255
11/5/2018,19.8875
11/2/2018,20.0335
11/1/2018,20.1565
10/31/2018,20.3397
10/30/2018,20.052
10/29/2018,20.0622
10/26/2018,19.3615
10/25/2018,19.4905
10/24/2018,19.6091
10/23/2018,19.2975
10/22/2018,19.4085
10/19/2018,19.267
10/18/2018,19.1545
10/17/2018,18.88
10/16/2018,18.752
10/15/2018,18.8425
10/12/2018,18.859
10/11/2018,18.9795
10/10/2018,19.1576
10/9/2018,19.04
10/8/2018,18.9425
10/5/2018,18.8255
10/4/2018,19.1005
10/3/2018,19.045
10/2/2018,18.7955
10/1/2018,18.7176
9/28/2018,18.7184
9/27/2018,18.7843
9/26/2018,18.843
9/25/2018,18.992
9/24/2018,18.9685
9/21/2018,18.8315
9/20/2018,18.828
9/19/2018,18.776
9/18/2018,18.8068
9/17/2018,18.838
9/14/2018,18.8882
9/13/2018,18.8335
9/12/2018,19.0177
9/11/2018,19.187
9/10/2018,19.2715
9/7/2018,19.324
9/6/2018,19.183
9/5/2018,19.3427
9/4/2018,19.4035
9/3/2018,19.1927
8/31/2018,19.085
8/30/2018,19.1135
8/29/2018,18.9554
8/28/2018,19.0822
8/27/2018,18.7655
8/24/2018,18.9115
8/23/2018,19.009
8/22/2018,18.7287
8/21/2018,18.9562
8/20/2018,19.005
8/17/2018,18.8935
8/16/2018,18.982
8/15/2018,19.1373
8/14/2018,18.8826
8/13/2018,19.12
8/10/2018,18.91
8/9/2018,18.6928
8/8/2018,18.4711
8/7/2018,18.4571
8/6/2018,18.519
8/3/2018,18.554
8/2/2018,18.6505
8/1/2018,18.588
7/31/2018,18.648
7/30/2018,18.5395
7/27/2018,18.6283
7/26/2018,18.6259
7/25/2018,18.6676
7/24/2018,18.8805
7/23/2018,18.882
7/20/2018,19.024
7/19/2018,19.0535
7/18/2018,18.8965
7/17/2018,18.8893
7/16/2018,18.82
7/13/2018,18.891
7/12/2018,18.9795
7/11/2018,19.083
7/10/2018,18.9271
7/9/2018,19.22
7/6/2018,19.0278
7/5/2018,19.215
7/4/2018,19.4495
7/3/2018,19.4565
7/2/2018,19.953
6/29/2018,19.9175
6/28/2018,19.718
6/27/2018,20.1794
6/26/2018,19.9533
6/25/2018,19.8947
6/22/2018,20.015
6/21/2018,20.326
6/20/2018,20.36
6/19/2018,20.5255
6/18/2018,20.509
6/15/2018,20.6295
